images,name,image_urls
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0b/cb/24/81/lobby-and-navigator-desk.jpg', 'path': 'full/9ad17d08a16204df163c035b28793fbf9be5fca0.jpg', 'checksum': '2d7db923b1c3315cdeaf67640525898b'}]","
,
Renaissance New York Midtown Hotel
",https://media-cdn.tripadvisor.com/media/photo-w/0b/cb/24/81/lobby-and-navigator-desk.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0e/82/dd/b2/exterior.jpg', 'path': 'full/ded91b3003f63ee96aac05e8a853b5cd0de84948.jpg', 'checksum': '1a5919a7c535e66e78e822b3b157e4d4'}]","
,
Hampton Inn Manhattan Grand Central
",https://media-cdn.tripadvisor.com/media/photo-o/0e/82/dd/b2/exterior.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/09/06/af/92/sanctuary-hotel-lobby.jpg', 'path': 'full/25a89be3385cdbdcf5c3a46550daf5b915828015.jpg', 'checksum': 'df19f0a45d6b716d5c448da88a62a26d'}]","
,
Sanctuary Hotel New York
",https://media-cdn.tripadvisor.com/media/photo-o/09/06/af/92/sanctuary-hotel-lobby.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0e/76/26/51/broadway-maiden-lane.jpg', 'path': 'full/9a86de6ae132da052c015ef4917899a02309898a.jpg', 'checksum': 'e353dcb1f3bdde2bc7ec96203ff30c77'}]","
,
Residence Inn New York Downtown Manhattan/World Trade Center Area
",https://media-cdn.tripadvisor.com/media/photo-o/0e/76/26/51/broadway-maiden-lane.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/06/82/d4/f7/homewood-suites-by-hilton.jpg', 'path': 'full/f142a394d341133981ef824abce8747998a9c074.jpg', 'checksum': '90368a36ee8a53e6bed77b40b912eba0'}]","
,
Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY
",https://media-cdn.tripadvisor.com/media/photo-w/06/82/d4/f7/homewood-suites-by-hilton.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0b/68/67/68/the-maritime-hotel.jpg', 'path': 'full/88ff7fe073fcad886ea63720846027558da08ff3.jpg', 'checksum': 'f299653d7c2043c34304ebd674edb215'}]","
,
The Maritime Hotel
",https://media-cdn.tripadvisor.com/media/photo-w/0b/68/67/68/the-maritime-hotel.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-o/0c/99/02/39/executive-suite.jpg', 'path': 'full/34090a3d6976bd062215b869e36e011143668a51.jpg', 'checksum': '0ec4caa4496c2923665e304bc74846e7'}]","
,
Hotel Beacon
",https://media-cdn.tripadvisor.com/media/photo-o/0c/99/02/39/executive-suite.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/07/7e/c9/19/exterior.jpg', 'path': 'full/b146fb0658ef8ca2b6acde327656487739d604c7.jpg', 'checksum': '74ad88e4b0be99de80de2418b4490a44'}]","
,
The NoMad Hotel
",https://media-cdn.tripadvisor.com/media/photo-w/07/7e/c9/19/exterior.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/08/3a/9f/af/guest-room.jpg', 'path': 'full/5f84e5f48b24ffad629ac20af9d4d9ecd0091a45.jpg', 'checksum': '8504555d36e0e8721ba90e4b6c4cfd37'}]","
,
Distrikt Hotel Times Square
",https://media-cdn.tripadvisor.com/media/photo-w/08/3a/9f/af/guest-room.jpg
"[{'url': 'https://media-cdn.tripadvisor.com/media/photo-w/0a/d5/d7/63/hotel-exterior.jpg', 'path': 'full/63425809d01b11ad5a6a8316868856ddda6a2cd9.jpg', 'checksum': 'd6d8b053ff54b8aa2c44df011ca98c93'}]","
,
Cambria hotel & suites New York - Chelsea
",https://media-cdn.tripadvisor.com/media/photo-w/0a/d5/d7/63/hotel-exterior.jpg
